"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.513325518298228,0.670182772992027,0.791630580992079,0.455956893733861,0.541677557010873,0.534910862421109,0.56548218436585,0.793607826669132,1,0.468371835257623,0.380051903196475,0.705325858777614,0.742412938312184,0.724960742171101,1,0.813091353090616,0.675463483150938,0.696911099229694,0.818621988267901,0.722762100064901,0.60091176379855,0.610403898181469,0.713220742084512,0.689463667848255,0.805151500166346,0.696198374429116,0.638340675318507,0.661004266725531,0.654487301900191,0.719028992823717,0.587033464279227,1,1,1,1,1,1,1,1,0.672106714726183,0.653598430044012,0.671751554182194,0.694617474389709,0.704036370206347,0.666706666781655,0.66941751576815,0.660350677961151,0.684347007960265,0.705357033001258,0.619827587898711,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.649638081128334,0.839409452993233,0.513645029581685,0.576417689106613,0.638976085140778,0.712992263224853,0.623245382050909,1,0.617746564181848,0.542318142863081,0.765770674431385,0.796202674111003,0.664838323541445,1,0.844796872544846,0.757701172026372,0.618387163338337,0.857297480395607,0.785552480595443,0.683495109958377,0.751708210178436,0.768686970150135,0.740180735903875,0.639862608824505,0.57865212852645,0.735935603285818,0.749234633897109,0.75822952494666,0.797586477210377,0.719225211517617,1,1,1,1,1,1,1,1,0.775213805603347,0.760450112803889,0.777884532637175,0.790831617058807,0.793077655658718,0.749372332937509,0.780334485433641,0.771943561186313,0.780267379544722,0.788760913437662,0.755181707389182,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.713523268617405,0.723513322814377,0.759774477770054,0.782649632467528,0.752135179367967,0.60052280467811,1,0.795876437929205,0.696218086605431,0.566328928178161,0.591179948899568,0.56557109400007,1,0.687273015426465,0.535810181318061,0.5869863143913,0.550655173007658,0.697498405877083,0.771921938253198,0.564204029985952,0.787733027395723,0.686946232414468,0.672875431353715,0.741133828177443,0.726294997479572,0.629804476062758,0.670224361635198,0.720171062617831,0.516226121753754,1,1,1,1,1,1,1,1,0.804930108171106,0.782144332979878,0.804781651314895,0.808328416527926,0.80257040888352,0.792973929599383,0.798750877344538,0.779850557071882,0.785645375554801,0.802118692134264,0.771284200741009,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.746204313547016,0.809415652406497,0.80969412659446,0.792622358930732,0.826566462709306,1,0.71266860336326,0.731472640349305,0.789122708644472,0.625930642270256,0.821639184398936,1,0.736939000745522,0.777609568579893,0.822677127509422,0.603065595501509,0.830624061614641,0.787349127512972,0.759583374151932,0.813967010114718,0.876992589402315,0.902402628361222,0.830213080452729,0.608331179152109,0.738700693149307,0.746491865003419,0.836245585076238,0.725723616756482,1,1,1,1,1,1,1,1,0.800770420614597,0.784774892204851,0.806824697247554,0.816230182966676,0.822430139486055,0.798141419749919,0.8107145144142,0.71058169950568,0.799996167725211,0.801430259718402,0.77514887290474,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.603647976995894,0.517138664414121,0.660385031303163,0.804743757530872,1,0.451550678054141,0.433839784461906,0.809911119859651,0.813366397253036,0.793149507354454,1,0.860152188930948,0.788734072844036,0.699995998481817,0.794196131908052,0.802181713597151,0.671174874857298,0.75986356122749,0.730258711347334,0.832722608364605,0.827996464885617,0.696933750395903,0.655381322319142,0.753991337797155,0.746822400553451,0.725404957289133,0.790689627638004,1,1,1,1,1,1,1,1,0.673912682786259,0.686838409420075,0.706370461612337,0.702530323499701,0.732319728298473,0.696727258295748,0.712137850438283,0.655176540461648,0.715627287265478,0.723815623894678,0.676234953264245,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.677260239763891,0.699167914245247,0.778396653074912,1,0.614398466452915,0.510662168413257,0.799553629330908,0.822827219334681,0.785600165693161,1,0.877947694643588,0.790116908917749,0.735834984258781,0.822502133044605,0.752822079104496,0.717383254552532,0.757114808444548,0.802140554657312,0.811712913229435,0.832974386313518,0.742381343296558,0.774873332608593,0.776263720386214,0.79519638503724,0.806836631247713,0.755323150302873,1,1,1,1,1,1,1,1,0.752789104933324,0.735280508130381,0.755160253644691,0.7645250639967,0.696984735632127,0.740977829656974,0.750900219236346,0.74839373153931,0.758692724950613,0.764908220557929,0.720378482049305,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.603324696826035,0.859907684148916,1,0.503775541270714,0.489893310851572,0.846199497441118,0.863492357074018,0.868896886466318,1,0.914771136072665,0.848693130737257,0.788150181760339,0.873528150680965,0.809497042987817,0.69016448177079,0.83430420344244,0.724209764982382,0.838585587390313,0.898851416677497,0.775007422616281,0.76480011661142,0.793557911197603,0.811841336069271,0.673147611309383,0.811027337877437,1,1,1,1,1,1,1,1,0.739327348270317,0.732771112716631,0.746544887546881,0.75832785073409,0.762762549694131,0.753293822545983,0.758153744454415,0.725548815449399,0.7672135319654,0.756098905345117,0.713819897708841,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.800324309358403,1,0.657910294270412,0.590033163856997,0.771924197208577,0.799840593441695,0.793146265408777,1,0.862468037706407,0.761419867985211,0.733347693137168,0.789410637764396,0.764647501182139,0.661743603999209,0.684397244882982,0.748129974539068,0.810433358331108,0.871990055186266,0.761516096044218,0.761388229045091,0.724051002083273,0.754105389345949,0.757148552430065,0.7275681900132,1,1,1,1,1,1,1,1,0.697935544790202,0.676697642819153,0.697414444149527,0.70698474029246,0.718868095067702,0.682636043071895,0.684110705264313,0.674762102793212,0.693812666874713,0.71356447925916,0.646019545240244,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,1,0.84012448064626,0.761110349886064,0.680658130223268,0.705492482803575,0.4126570832527,1,0.776171625204878,0.662042735842985,0.666819489125701,0.677247281724978,0.79428215640129,0.779199510433883,0.713713715929079,0.832197196837449,0.725768950648295,0.444848432011571,0.747793054959701,0.820899217090253,0.761345539842795,0.786967980780796,0.822913697799986,0.708842494586139,1,1,1,1,1,1,1,1,0.822479768744832,0.801041676978752,0.836569469582763,0.828554078382129,0.842994265463683,0.805815508171208,0.832197201427811,0.828856894090811,0.837949683427928,0.823489876555472,0.817866468040433,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.465169189110307,0.815820527898201,0.785493903200836,0.836748681317398,1,0.831340565107835,0.810542848040884,0.754078787705821,0.815598356553348,0.802658725733857,0.688033993588303,0.753659747261809,0.76818285387626,0.842520697989725,0.897089344813086,0.773437116441014,0.622485530648679,0.735581614379357,0.733619427226727,0.771336361729189,0.800666490000186,1,1,1,1,1,1,1,1,0.704270641544582,0.699672119178262,0.722051570272686,0.738806837098659,0.744308103080297,0.717507044152404,0.728764088154048,0.652417715852847,0.727126150288951,0.732976896850384,0.687812669616622,1,1,1,1,1,1,1,1,1
