"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.483588704439691,0.594041678675763,0.722223092159116,0.425530142798014,0.476619718874496,0.490011104376773,0.477529992935094,0.755191604774726,0.690524961976908,0.444643782594476,0.345428315486461,1,1,1,1,1,0.607691152248893,0.727121257939054,0.824784463337792,0.749224643416261,0.659724949273368,0.647017048645674,0.741040668161781,0.724173222591852,0.829393267029662,0.715508137276419,0.649840963503047,0.738527972064219,0.690386844379315,0.737890397767483,0.627349781194926,0.571810941963701,1,1,1,1,1,1,1,0.635753934947367,0.622982968560888,0.602520778429573,0.653405233804213,0.632757723076626,0.595334881753076,0.597020319444588,0.591619829521806,0.597692910961909,0.669095835399955,0.671138845272474,0.628786412249006,0.708578956324133,0.717152332296936,0.780078867815342,0.722408096140248,0.559888834109725,0.773350596662173,0.752048397875369,0.675171748894472
"B_PNEUM.C.7",0,0,0.607094184642014,0.783001083146502,0.495184584146748,0.538298058689548,0.60289802669423,0.645762160461308,0.610933793744141,0.586407925669149,0.588055791317982,0.513591340980845,1,1,1,1,1,0.706418564320364,0.651917831014489,0.862161256082195,0.805204052514149,0.727910656695384,0.766445629170342,0.790116123744359,0.768161163293641,0.646718718637533,0.60656957110962,0.743960103427475,0.805521895810744,0.781634369365519,0.809466934914619,0.745093991078302,0.747990351929681,1,1,1,1,1,1,1,0.745950428377721,0.735497422786725,0.719381916330065,0.758040559848813,0.734360072958998,0.694166784340645,0.719331497597983,0.713325269603519,0.713409598700197,0.759999175227721,0.784137156764501,0.731703974200987,0.778776065276449,0.789792776021006,0.821815760787312,0.792918206193038,0.681188095421037,0.820588472359803,0.810129872387042,0.784268072696764
"B_HIVAIDS.C.7",0,0,0,0.658843878587965,0.636294028819585,0.685928843795383,0.718240092159148,0.66597254838024,0.581670675120467,0.548062777264224,0.699029327399675,0.617453588419964,1,1,1,1,1,0.461503589494224,0.583434888431897,0.566797956816003,0.677564143089967,0.757896646948219,0.565552989151993,0.759380953895369,0.653240270901823,0.634705981870573,0.723065791815324,0.683614031141328,0.649200714634163,0.650103043806913,0.702916872424022,0.494604222230691,0.615338633604926,1,1,1,1,1,1,1,0.72574734443359,0.70810727000484,0.691333278939917,0.728032214160384,0.694705240805445,0.678300074400566,0.682194781581147,0.671286366808473,0.668336767762083,0.732087220733413,0.748963226821673,0.791076203288087,0.815154481156206,0.784657860547777,0.845027047671552,0.807995866281197,0.775985792873455,0.804425593219015,0.825577818617066,0.744629521039272
"B_DIARR.C.7",0,0,0,0,0.691278213783143,0.747634034079143,0.756977812389778,0.725055066649312,0.796918575963901,0.777787823880101,0.6668373983385,0.675653159553451,1,1,1,1,1,0.711500010136904,0.816454374880691,0.613286453109244,0.824253018223608,0.795786225105879,0.758039968242762,0.808420652712072,0.865673070066338,0.900707552110195,0.824800044896221,0.599610212528225,0.765012659590903,0.744136430401939,0.830459462207433,0.718631271207109,0.808509020709132,1,1,1,1,1,1,1,0.760285508862477,0.746431752329085,0.7392719939084,0.774242209010555,0.754883432218823,0.730200109257185,0.740642019877469,0.655608069180939,0.728352374425812,0.763793088781481,0.777417452855192,0.679734937103382,0.722370307453474,0.828734484385948,0.847498826475572,0.724107113072419,0.779729112277197,0.859829661248681,0.719644236133491,0.664935731997761
"B_MALAR.C.7",0,0,0,0,0,0.560371128509356,0.4911786471268,0.600278365193433,0.77332892711189,0.707618981718959,0.416574540481913,0.401278514120149,1,1,1,1,1,0.688660812478368,0.68599876440541,0.788911728619234,0.78055567054401,0.670694697515112,0.731357998935157,0.715497144704792,0.804644353543849,0.809432628888569,0.686334437329353,0.62900211402365,0.769312535775849,0.728109875436596,0.710038313315526,0.756706514874158,0.750600987270139,1,1,1,1,1,1,1,0.619959636644357,0.634008253262607,0.623988336552752,0.643538925735766,0.648820258245879,0.613500251944965,0.625671499356191,0.579586422693992,0.622181446853151,0.669726759550009,0.669590094018242,0.599103718604615,0.665094956231509,0.699068290200555,0.772111623315462,0.682215279701316,0.588925565751708,0.793249002466146,0.704663614608246,0.666665118067326
"B_MEAS.C.7",0,0,0,0,0,0,0.623061547376058,0.609038632186116,0.7399249475778,0.701574961112948,0.567957489752515,0.460512599682083,1,1,1,1,1,0.703620655092982,0.754268407656553,0.824005890855436,0.760854452513892,0.745864083408875,0.768399179226132,0.807144512027672,0.808525930795426,0.831426461015462,0.75368561863447,0.759877328479868,0.833610278346077,0.801278496916122,0.809448991501439,0.759030101348067,0.759590227892698,1,1,1,1,1,1,1,0.712454627248851,0.699986371841927,0.68202742941856,0.719914504858277,0.637557606052189,0.667914263708751,0.67551589546529,0.675084870136575,0.676770991727714,0.730174899486584,0.7434633646639,0.717093735315227,0.7680864057494,0.785827498586727,0.814715312860765,0.7664431728752,0.678186958109649,0.81298818980158,0.78867002391853,0.739328096290923
"B_MENING.C.7",0,0,0,0,0,0,0,0.550847194389235,0.825216752723403,0.736320915613533,0.485149319232007,0.457133344949794,1,1,1,1,1,0.77534829273685,0.796736134408632,0.873533552021302,0.816334392775739,0.714912036520575,0.835709057725015,0.734647931744967,0.84360107831659,0.909330049462897,0.782046636597298,0.757544467576743,0.836266041622507,0.819368099922791,0.686774927001207,0.815476031792373,0.806308260614986,1,1,1,1,1,1,1,0.708585645947039,0.704301659148815,0.689254412069628,0.725045576882115,0.705350265980244,0.693339248883564,0.697213991056431,0.66966315143698,0.699893832581951,0.726535658425153,0.732407420962278,0.672524284510492,0.745315168448932,0.674396703877942,0.797226084664759,0.751069847055535,0.609930659261716,0.838585278614412,0.770465655598138,0.763514319164951
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.753908454110411,0.721934927067766,0.602204871730721,0.518950649121896,1,1,1,1,1,0.664751574444178,0.75688951733311,0.79590672876724,0.774791711515255,0.698828442667318,0.715076228182387,0.759150193103641,0.809481332202192,0.876644657872224,0.773859731721329,0.746850096381992,0.794391522661427,0.767153478613484,0.769134175682535,0.736527699925775,0.678524094646694,1,1,1,1,1,1,1,0.658556295108412,0.641898839076566,0.622518165401037,0.665200183464306,0.644023217389596,0.607559135811983,0.608245726919814,0.603140059690057,0.60790439980806,0.678751122263206,0.685718476999509,0.695673756839697,0.761156915666585,0.741874305508178,0.79828557979802,0.733236544812259,0.704408017193615,0.78986480419407,0.761726676346908,0.691974860180252
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.475594287853127,0.805827764660773,0.729951187929692,1,1,1,1,1,0.646034378299557,0.719285654977129,0.715202595394019,0.844612112109969,0.871186698897756,0.764496698270662,0.884373145859808,0.781295868073276,0.448468902605209,0.787507502710781,0.857957087491445,0.849260568224993,0.842910143698725,0.866345074544879,0.767148959761376,0.842808190107559,1,1,1,1,1,1,1,0.823575620658764,0.804532511835479,0.803164781864773,0.82822005110187,0.810343398010753,0.774323818689518,0.798069715455889,0.795218557606344,0.798259883881184,0.823310510436382,0.88163690924727,0.901588147778471,0.906102909934228,0.906550822238938,0.920758063946643,0.90583525478852,0.886752866093236,0.888135639170711,0.91334067473533,0.871743499575343
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.766407493103503,0.661055170307108,1,1,1,1,1,0.637919859439461,0.65237032705164,0.791786299404989,0.794852819680753,0.812282036792137,0.715227231792969,0.829640096896061,0.730431887058324,0.538925340313617,0.712220844323923,0.782094537790396,0.775723040645251,0.778003507834182,0.813364375526112,0.67091761772639,0.778479455807599,1,1,1,1,1,1,1,0.798847722731854,0.783067659647757,0.766451682346932,0.804094859387156,0.779598375725309,0.735606269963283,0.764219880768067,0.711497834501342,0.75358351714736,0.79516121016684,0.815087156078567,0.765975955349345,0.805509117947269,0.837063140440177,0.860466197555471,0.796889314357611,0.746242388245778,0.820598440224654,0.814275302038364,0.758744983796297
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.42722555889426,1,1,1,1,1,0.706823790281438,0.735882410704018,0.805044122520186,0.777707211536997,0.686055571376961,0.719485948382705,0.748218263639227,0.805409781111902,0.875687000394873,0.755093200813265,0.597849590666114,0.753027814359399,0.713834016165369,0.742739273552967,0.762408692436766,0.740922010838583,1,1,1,1,1,1,1,0.647646084581337,0.649963249791959,0.642073070762395,0.670537047922225,0.663252721411869,0.63600946414548,0.644604906341078,0.582853988187315,0.638245040915424,0.682869461551943,0.677754815159616,0.563523687760131,0.633200052778919,0.754457855450616,0.738890068536393,0.664541668898222,0.605750838812881,0.757535631340273,0.653533640493168,0.665164002312171
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.664725443114958,0.710408180585558,0.779346731837787,0.731274010305327,0.64773025161355,0.715645863085261,0.711341601273407,0.784442330768235,0.835945169039162,0.705889951788055,0.659264383009198,0.75241773980469,0.655375097845811,0.725472381787039,0.711227753384604,0.694484580138302,1,1,1,1,1,1,1,0.622771352710464,0.618339514212654,0.602697314272755,0.640052673251755,0.589565779119883,0.593442230738304,0.598766051839044,0.581301816358104,0.597821510411494,0.656801971079136,0.642616826402758,0.556246654003484,0.65870095935849,0.702995774437752,0.766407700124227,0.663824980664662,0.518363098872009,0.787854439083083,0.692709413250111,0.656559887168737
"B_ORAL_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIG_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_RESP_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_BREA_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_REPR_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_OU_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645612658690032,0.582986584027541,0.690755816633095,0.765724957654254,0.521921638777698,0.792830926458556,0.671879223946103,0.718156578643952,0.746213137390629,0.691535806290519,0.598480430376751,0.64788296680672,0.751546122474155,0.520579798584929,0.603272992249829,1,1,1,1,1,1,1,0.7114112521438,0.693388054307501,0.677081785809653,0.717803632237891,0.685291456286387,0.664759134237101,0.666691966282065,0.664891106893882,0.665273329724974,0.722221857462449,0.734451425794578,0.784849996450214,0.805857061845751,0.822539420682243,0.845962322993025,0.814011133723328,0.777767655938942,0.789974904443477,0.818933200406723,0.723986080670038
"B_ANAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655314029464522,0.718284785046146,0.708972179189268,0.554653856306514,0.717998123070205,0.64882660605706,0.686130676900244,0.680351814973422,0.71757930265315,0.698095311180279,0.674416049611138,0.709342700817078,0.521878060171178,0.61293899064574,1,1,1,1,1,1,1,0.821450472777092,0.799222406369941,0.775349146304336,0.829695312944058,0.787041456465293,0.760268978407923,0.769589551698091,0.763247593791086,0.77045911442318,0.82013439288026,0.715820393858023,0.73485544804775,0.704723845373036,0.780280193933118,0.773244221046251,0.799420125660534,0.785190666810532,0.56602384940335,0.761117927514053,0.729818570550385
"B_MALNUT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766420679370174,0.8431526727115,0.598674365129493,0.804202653200878,0.788112442994041,0.817464981548564,0.836707950981443,0.778092770775597,0.766939233690138,0.770568830777451,0.808287278535425,0.632296174673767,0.744668096682487,1,1,1,1,1,1,1,0.832104504617275,0.826642640950583,0.814770099867842,0.843309134143489,0.779158474140589,0.806756016651943,0.808842945894451,0.796644381683596,0.807556211950742,0.850059054342622,0.770851581141214,0.803136094486555,0.794776050016556,0.831118027762526,0.868405864015877,0.818970555679832,0.822569202877881,0.769258971076341,0.83335406789719,0.768801183792076
"B_DIABET.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752513965438324,0.652850396640682,0.761797789268172,0.713727694516689,0.790968689092108,0.753852971839655,0.746287503733236,0.705336762720302,0.688118587530549,0.739982681113608,0.620872730193564,0.653697300650889,1,1,1,1,1,1,1,0.824002109445513,0.809012142560509,0.789854994652457,0.833739993359882,0.754225741867864,0.783138175312571,0.783915746375213,0.760517428345932,0.782283739523148,0.820096522020966,0.745875515161583,0.802741600092843,0.836314110381321,0.803411997874182,0.852772072943997,0.815520794725467,0.800093257920642,0.831273972029779,0.831642003031318,0.762222750787404
"B_CARD_AC.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707947887551221,0.544005015912226,0.509262593215709,0.830512647176582,0.619729364910528,0.66238464937973,0.757066353274478,0.728563086639058,0.586354924182523,0.692374528410035,0.618998133117798,1,1,1,1,1,1,1,0.587972777997528,0.57070767614753,0.567047243294695,0.609501664247983,0.5934173147927,0.59826682226629,0.599814954632432,0.628455384315057,0.640168502904055,0.625849492019633,0.488908501424422,0.624843941123667,0.70984184913162,0.579213320082507,0.701246667872571,0.647778414993849,0.703586310076105,0.762245498860782,0.679132554259524,0.605440104756808
"B_SICKLE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748341012622637,0.616664789671735,0.718792169768591,0.713476996732815,0.655113765443912,0.59216508258038,0.606249513111165,0.725984844665535,0.426021230191692,0.432729266102143,1,1,1,1,1,1,1,0.765165446449395,0.74348140055719,0.721119585054278,0.767804164205313,0.737433272996215,0.708406492419161,0.709812031342173,0.69995794342952,0.708257977957904,0.772367875089373,0.651953731498151,0.725762867689523,0.754682974348027,0.78473399935194,0.806153941662866,0.752380640173327,0.735122280504515,0.71188246480729,0.766121681205473,0.665389983380671
"B_STROKE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667508823193531,0.851935564542307,0.690566054524919,0.705823647663425,0.777111974089801,0.756561462752382,0.622762631354679,0.732087614729522,0.709555904055282,1,1,1,1,1,1,1,0.686745036288485,0.671536020630154,0.654415303809085,0.69517976467945,0.674978440337619,0.684745372303591,0.687560075400748,0.708798929708745,0.722172722617943,0.699676472637707,0.606489946493396,0.711316993400536,0.764330384232218,0.569261567734897,0.757083517497028,0.731305092633996,0.763152144082328,0.810567912181537,0.752876316047846,0.695243653006947
