"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.530921786509598,0.671955579377455,0.787471422518798,0.474649635469302,0.54294670564769,0.534151874552004,0.560422761170264,0.801853002485572,0.77496498015945,0.475548926518646,0.384698140716287,1,1,1,1,1,0.695700107348373,0.707594617712264,0.820237073744071,0.738162961160819,0.619066804131709,0.619644972175498,0.590492185024001,0.699043560050083,1,0.704024817892397,0.65455369323779,0.623356211263052,0.671256495086525,0.727286472321694,0.591373988576015,0.670912854696836,1,1,1,1,1,1,1,0.681890221084074,0.665327337817374,0.68388355171915,0.700395849550093,0.714736630541416,0.679760487659312,0.682519777758988,0.671810062244432,1,0.711562867445719,0.637253165815269,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.658840597733444,0.837826108098178,0.533689764417021,0.586232014965076,0.645417729833411,0.71880986768679,0.634116079333851,0.637806883577747,0.627273520498258,0.556614999278159,1,1,1,1,1,0.777158545328491,0.635492425038234,0.858211466150499,0.800900194219809,0.70347702722281,0.75604641557599,0.722034822672401,0.756192214745241,1,0.593231176303318,0.753376420116826,0.73982880471851,0.775314401956566,0.80628734611654,0.734798744197842,0.781878127126986,1,1,1,1,1,1,1,0.785029919407901,0.772052728640875,0.789400022011031,0.797540172828167,0.803584951323148,0.762331563806713,0.792291238863671,0.783151229843382,1,0.796009490613577,0.770511300909893,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.704855614168814,0.695012351660975,0.762398527972391,0.782320877631614,0.758766248921834,0.605620378336391,0.603788174298077,0.76295632575907,0.684770571787461,1,1,1,1,1,0.504635720846157,0.559690089022175,0.563674027046985,0.665423898361594,0.730678052263356,0.54319610763823,0.663698534862145,0.628654144118789,1,0.714868462118369,0.69018592926871,0.559019065108048,0.634191861892082,0.693079012008501,0.459210325203417,0.667129920810546,1,1,1,1,1,1,1,0.76881812216128,0.747632215654896,0.766895333927506,0.770494133820304,0.766817971166996,0.754535769615344,0.759630601918925,0.744084546695165,1,0.770515661403347,0.731098068165321,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.719787707429634,0.782865116983342,0.806936385445004,0.790797355502882,0.827773674911295,0.799613947241417,0.706569592917987,0.72951215815937,1,1,1,1,1,0.772902224873199,0.810080350504615,0.586695101227565,0.823803827356419,0.781371237156136,0.725558083321254,0.764448201050918,0.865278423093163,1,0.824428554595893,0.604545166391866,0.716390396032673,0.741457643787079,0.829880094714008,0.716055135567468,0.826269464917379,1,1,1,1,1,1,1,0.795142270396013,0.778364036405258,0.799198148158306,0.804607256602208,0.81438263487282,0.790745283640771,0.802691537114646,0.708335461470483,1,0.79664629239572,0.767986506717249,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.590938527616214,0.52699352518718,0.669776294803508,0.812162232000974,0.730628226744486,0.444117613295333,0.4446345386781,1,1,1,1,1,0.764128240751113,0.67184885660931,0.765973513693912,0.778240440345283,0.65167892553994,0.690257834183882,0.624071570173199,0.799559812740717,1,0.681437382295737,0.635555506022873,0.704732373409591,0.723107220644289,0.706842645158835,0.753856418961086,0.783283502442436,1,1,1,1,1,1,1,0.65630172880948,0.667239203525176,0.684437740431146,0.676119346524274,0.709438297345169,0.674839650011243,0.688882636840326,0.637683427960826,1,0.704738425202319,0.65361904300063,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.676715411589033,0.697925588089468,0.781266037234226,0.726913840946002,0.62449656564473,0.519903827991312,1,1,1,1,1,0.79550025174851,0.73971535554024,0.792462588797473,0.756736801578426,0.722269492648703,0.72199940748408,0.733579226158734,0.802173771618999,1,0.750700274862896,0.77497538025501,0.759516820368412,0.798588189430514,0.81314154126541,0.75478442003016,0.797040867252069,1,1,1,1,1,1,1,0.762959462961634,0.742755509026108,0.762022468974087,0.766977628156628,0.706187957461333,0.748940963635073,0.758384334074877,0.758369217989011,1,0.774387733153666,0.728987541321496,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.602402908460999,0.861789892321795,0.795453810058129,0.509347121763493,0.490724112339406,1,1,1,1,1,0.852827542499846,0.790007911455592,0.872989144626494,0.81281952589285,0.69179536226866,0.828819066978593,0.652910838867678,0.838054144979928,1,0.777461197043062,0.767131687467302,0.777209238847147,0.815600517715968,0.677363635342217,0.81096346641531,0.830146522710898,1,1,1,1,1,1,1,0.741796271010352,0.735846698210599,0.749503943588534,0.758853826993228,0.765315704921884,0.756281763713668,0.761054927089125,0.727716576058586,1,0.757677339349663,0.716857721689298,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.800292583656913,0.808174339885501,0.666000427397357,0.590226005292967,1,1,1,1,1,0.763422553800314,0.740821363064584,0.801193319077166,0.766054656098716,0.660141193928731,0.696481495649313,0.62462277272386,0.795536885541088,1,0.766813689001918,0.761273948145076,0.689618561445125,0.75582884528281,0.763116609458836,0.716824089690437,0.749215094766878,1,1,1,1,1,1,1,0.70676499036564,0.6847949844009,0.705438667326378,0.71416886214162,0.725763768092515,0.691655946707356,0.693135150690711,0.683425853962092,1,0.721019151849425,0.6552677373431,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.514737702884213,0.841363204291809,0.766569574742997,1,1,1,1,1,0.675671078077575,0.676793604571285,0.689410905192697,0.806882223531298,0.79508371690823,0.724063585515126,0.802809272658488,0.735781973193735,1,0.754407892265467,0.836076167681438,0.750632268235866,0.800443247670901,0.829345496892382,0.717902165248616,0.819488519924136,1,1,1,1,1,1,1,0.828845060230512,0.809405409140017,0.844986109776261,0.833525071513127,0.851004757613979,0.81479190318367,0.841001413236167,0.836442403288353,1,0.827991560709192,0.829184050850003,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.828628704526221,0.734257593450038,1,1,1,1,1,0.713444451546068,0.646128057545556,0.756607640885806,0.798185047734105,0.800455410871118,0.659731654599527,0.788046309396952,0.730589599585164,1,0.715087220591177,0.799095098957411,0.723928301628262,0.781777996734443,0.81616831639849,0.678089675875279,0.807139007025697,1,1,1,1,1,1,1,0.848138538015452,0.827438501217844,0.847231601310218,0.843395266284834,0.858330060996348,0.815426729736076,0.84791955589303,0.78975455241314,1,0.840815423863142,0.808146343769301,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.461611538287965,1,1,1,1,1,0.771766742999512,0.718665841707697,0.810939921142128,0.768520073871689,0.653326950691757,0.716214604220781,0.655177860022124,0.79214378759245,1,0.747316930899746,0.592287895545745,0.677240411703934,0.697927372327821,0.7434723697765,0.747204011894136,0.771276536408121,1,1,1,1,1,1,1,0.677991924337061,0.673107063600035,0.693062123287526,0.709446077738932,0.715385238015947,0.687801179506919,0.698212715221915,0.627543055890922,1,0.708187723678943,0.657082833385614,1,1,1,1,1,1,1,1,1
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.744171542415857,0.693633464304682,0.782841655477028,0.720499686971707,0.612793755310774,0.710480452007316,0.578840684507977,0.769263279612294,1,0.695726691392643,0.664025702977751,0.662152698872857,0.636335122431459,0.719891687461785,0.692029852644803,0.74851256694309,1,1,1,1,1,1,1,0.660035158729577,0.651266620802832,0.666809968029993,0.681559299290111,0.647755982615837,0.658777853419252,0.665514109058079,0.64340077765242,1,0.690183792899866,0.615534278929639,1,1,1,1,1,1,1,1,1
"B_ORAL_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIG_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_RESP_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_BREA_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_REPR_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_OU_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626269584839072,0.598208983958584,0.67816637644194,0.73635211769046,0.502523147758435,0.711516899464482,0.646518412579424,1,0.738190647165199,0.698506456934161,0.495757469999165,0.62986505449201,0.742335262457522,0.483505886686251,0.671637930098758,1,1,1,1,1,1,1,0.75362099362598,0.733251039476734,0.753511707062827,0.760356369606165,0.758958023826667,0.742093868427885,0.744884162814793,0.738977730231403,1,0.760615543641241,0.713666190270359,1,1,1,1,1,1,1,1,1
"B_ANAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677571516864014,0.718783020158015,0.692048743358254,0.557117069722964,0.612675709122029,0.643749484793406,1,0.680876873105331,0.718004452388926,0.614649583848513,0.67509393731577,0.709099236133319,0.522746383450499,0.721429036884392,1,1,1,1,1,1,1,0.76551838629225,0.744688265868556,0.766425778192389,0.771194229960745,0.779489931206067,0.749696065530182,0.759685633061572,0.753948070395852,1,0.771523075790823,0.715269782324315,1,1,1,1,1,1,1,1,1
"B_MALNUT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782395297295335,0.835787081007499,0.603592572839002,0.765945267531905,0.801446521209088,1,0.847187559697004,0.79249547568285,0.725931342180568,0.788500185967318,0.823040431076504,0.668901743555936,0.80656616248479,1,1,1,1,1,1,1,0.802199059843829,0.794186741915187,0.821514081629331,0.806960758709963,0.786206218856238,0.813893063024232,0.815960246456073,0.806772537990757,1,0.82115291008454,0.787835790042401,1,1,1,1,1,1,1,1,1
"B_DIABET.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737227312255512,0.660120382270137,0.697129189471987,0.711222416454969,1,0.754402669979145,0.747178353402078,0.641129738595124,0.688616841643427,0.740202506194959,0.621021739733169,0.72771104705811,1,1,1,1,1,1,1,0.779697459230966,0.765667612903306,0.784197695012126,0.788677931409152,0.746698741982905,0.776827582046325,0.777608999681871,0.753121609731712,1,0.780405172764089,0.746005992230488,1,1,1,1,1,1,1,1,1
"B_CARD_AC.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696010767513683,0.388732956016849,0.505577127458993,1,0.610799091806772,0.650238436447601,0.647923665156588,0.712223655644281,0.576429098894504,0.671404000401706,0.696803772521009,1,1,1,1,1,1,1,0.514615893260486,0.499731329797754,0.535404697741871,0.534254798732564,0.564407686810865,0.566455481999842,0.567876329579763,0.598684309331229,1,0.560353502684834,0.481106438530056,1,1,1,1,1,1,1,1,1
"B_SICKLE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657744596051668,0.614835700536746,1,0.71953900790615,0.660708711486632,0.510084039833896,0.615950006211828,0.73690715154906,0.450122305348991,0.615663738884633,1,1,1,1,1,1,1,0.715230738527445,0.689224955411411,0.709688152373521,0.712451833681474,0.727551114500364,0.695653255440503,0.697033250701542,0.692189237759223,1,0.726975236523122,0.660325222192224,1,1,1,1,1,1,1,1,1
"B_STROKE.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621303993143882,1,0.61257062835726,0.616844808102186,0.610680930936542,0.674854491830084,0.513481561791494,0.594921541117706,0.675546908725871,1,1,1,1,1,1,1,0.529629251569822,0.512948213822959,0.519078803251477,0.537311169359754,0.555885206199838,0.557733525867843,0.558832211819288,0.596734503803075,1,0.566818124643847,0.445756099355615,1,1,1,1,1,1,1,1,1
"B_CARD_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.557618201289212,0.693106565390038,0.626608392870704,0.67690509833612,0.703245123564257,0.552450363396038,0.689038301193548,1,1,1,1,1,1,1,0.71666358645657,0.69663386536855,0.71522921197909,0.721775799197825,0.725943294042428,0.732298724425749,0.734209558669773,0.762587336032557,1,0.726782649678673,0.677426417568206,1,1,1,1,1,1,1,1,1
"B_COPD.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_ASTHM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72265410894747,0.695728995802187,0.731525432216461,0.700072428903738,0.688999185270447,0.743197848770501,1,1,1,1,1,1,1,0.67102850025863,0.655534809994991,0.665707759625352,0.670147668814521,0.678235146809896,0.65407661643896,0.676927715046103,0.699806210648948,1,0.680354364719908,0.634692343661701,1,1,1,1,1,1,1,1,1
"B_AC_ABD.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455729258111598,0.526658242050907,0.726901705576655,0.620058229010663,0.729089181262185,1,1,1,1,1,1,1,0.695978712344651,0.679809478051306,0.70706380283379,0.722517473267721,0.731650282127732,0.718105227833454,0.735323085281856,0.638812858580919,1,0.713903750901972,0.655599076872108,1,1,1,1,1,1,1,1,1
